编号	ID
AQ_HJ_001_1_1	715287747144982529
AQ_HJ_001_1_2	715287948408659969
AQ_HJ_001_1_3	710062247627722761
AQ_HJ_001_2_1	715585114637348865
AQ_HJ_001_2_2	715585114670903300
AQ_HJ_001_2_3	715585114670903300
AQ_HJ_001_3_1	715585114679291909
AQ_HJ_001_3_2	715585114666708997
AQ_HJ_001_3_3	715585114712846345
AQ_HJ_001_4_1	715585114675097605
AQ_HJ_001_4_2	715585114675097605
AQ_HJ_001_4_3	715585114641543175
AQ_HJ_002_1_1	715585114624765959
AQ_HJ_002_1_2	715585114624765959
AQ_HJ_002_1_3	710062247631917059
AQ_HJ_002_2_1	715585114675097607
AQ_HJ_002_2_2	715585114637348871
AQ_HJ_002_2_3	715585114637348871
AQ_HJ_002_3_1	715585114645737479
AQ_HJ_002_3_2	715585114649931781
AQ_HJ_002_3_3	715585114649931781
AQ_HJ_002_4_1	715585114654126081
AQ_HJ_002_4_2	715585114654126081
AQ_HJ_002_4_3	715585114654126083
AQ_HJ_003_1_1	715579299671056389
AQ_HJ_003_1_2	715579299675250689
AQ_HJ_003_1_3	715579299692027905
AQ_HJ_003_2_1	715579299671056401
AQ_HJ_003_2_2	715579299692027907
AQ_HJ_003_2_3	715579299675250693
AQ_HJ_003_3_1	715579299679444993
AQ_HJ_003_3_2	715579299679444995
AQ_HJ_003_3_3	715579299679444995
AQ_HJ_003_4_1	715579299671056391
AQ_HJ_003_4_2	715579299671056391
AQ_HJ_003_4_3	710061638249877523
AQ_HJ_004_1_1	715573431772651523
AQ_HJ_004_1_2	715573431772651523
AQ_HJ_004_1_3	710062247501893647
AQ_HJ_004_2_1	715566717417562113
AQ_HJ_004_2_2	715566717417562115
AQ_HJ_004_2_3	710062247627722755
AQ_HJ_004_3_1	715573431772651521
AQ_HJ_004_3_2	715573431797817345
AQ_HJ_004_3_3	710062247623528457
AQ_HJ_004_4_1	715573431776845827
AQ_HJ_004_4_2	715573431776845825
AQ_HJ_004_4_3	710061638266654723
AQ_HJ_005_1_1	715585114641543169
AQ_HJ_005_1_2	715585114717040653
AQ_HJ_005_1_3	715585114717040653
AQ_HJ_005_2_1	715585114683486209
AQ_HJ_005_2_2	715585114683486209
AQ_HJ_005_2_3	710062247501893639
AQ_HJ_005_3_1	715585114717040655
AQ_HJ_005_3_2	715585114725429251
AQ_HJ_005_3_3	710062247627722769
AQ_HJ_005_4_1	715585114738012163
AQ_HJ_005_4_2	715585114738012163
AQ_HJ_005_4_3	710061638245683209
AQ_HJ_006_1_1	715565037263265793
AQ_HJ_006_1_2	715565037254877189
AQ_HJ_006_1_3	715565037254877189
AQ_HJ_006_2_1	715565037263265797
AQ_HJ_006_2_2	715565037263265795
AQ_HJ_006_2_3	710062247501893635
AQ_HJ_006_3_1	715565037254877187
AQ_HJ_006_3_2	715565037254877187
AQ_HJ_006_3_3	710062247623528463
AQ_HJ_006_4_1	715565443791986689
AQ_HJ_006_4_2	715566232459550721
AQ_HJ_006_4_3	715566341553397761
AQ_HJ_007_1_1	715585114733817857
AQ_HJ_007_1_2	715585114717040651
AQ_HJ_007_1_3	715585114645737485
AQ_HJ_007_2_1	715585114645737473
AQ_HJ_007_2_2	715585114628960265
AQ_HJ_007_2_3	710062247497699333
AQ_HJ_007_3_1	715585114628960267
AQ_HJ_007_3_2	715585114700263425
AQ_HJ_007_3_3	710062247627722763
AQ_HJ_007_4_1	715585114662514695
AQ_HJ_007_4_2	715585114662514695
AQ_HJ_007_4_3	715585114670903307
AQ_HJ_008_1_1	715579299679444997
AQ_HJ_008_1_2	715579299671056393
AQ_HJ_008_1_3	710062247543836679
AQ_HJ_008_2_1	715579299671056387
AQ_HJ_008_2_2	715579299679444999
AQ_HJ_008_2_3	715579299683639299
AQ_HJ_008_3_1	715579299687833601
AQ_HJ_008_3_2	715579299692027909
AQ_HJ_008_3_3	715579299671056385
AQ_HJ_008_4_1	715579299675250691
AQ_HJ_008_4_2	715579299671056397
AQ_HJ_008_4_3	715579299671056397
AQ_HJ_009_1_1	715585114679291911
AQ_HJ_009_1_2	715585114679291911
AQ_HJ_009_1_3	710062247518670855
AQ_HJ_009_2_1	715585114687680519
AQ_HJ_009_2_2	715585114687680527
AQ_HJ_009_2_3	715585114687680527
AQ_HJ_009_3_1	715585114700263435
AQ_HJ_009_3_2	715585114700263435
AQ_HJ_009_3_3	710062247627722771
AQ_HJ_009_4_1	715585114725429255
AQ_HJ_009_4_2	715585114725429255
AQ_HJ_009_4_3	715585114725429259
AQ_HJ_010_1_1	715585114662514693
AQ_HJ_010_1_2	715585114645737477
AQ_HJ_010_1_3	715585114645737477
AQ_HJ_010_2_1	715585114662514697
AQ_HJ_010_2_2	715585114725429253
AQ_HJ_010_2_3	710062247510282252
AQ_HJ_010_3_1	715585114687680525
AQ_HJ_010_3_2	715585114704457731
AQ_HJ_010_3_3	715585114704457731
AQ_HJ_010_4_1	715585114628960259
AQ_HJ_010_4_2	715585114700263429
AQ_HJ_010_4_3	715585114717040645
AQ_HJ_011_1_1	715585114649931783
AQ_HJ_011_1_2	715585114624765955
AQ_HJ_011_1_3	715585114624765955
AQ_HJ_011_2_1	715585114662514689
AQ_HJ_011_2_2	715585114662514689
AQ_HJ_011_2_3	715585114704457729
AQ_HJ_011_3_1	715585114700263437
AQ_HJ_011_3_2	715585114637348869
AQ_HJ_011_3_3	715585114637348869
AQ_HJ_011_4_1	715585114725429265
AQ_HJ_011_4_2	715585114725429257
AQ_HJ_011_4_3	710061638304403457
AQ_HJ_012_1_1	715585114645737483
AQ_HJ_012_1_2	715585114658320387
AQ_HJ_012_1_3	710062247527059461
AQ_HJ_012_2_1	715585114687680521
AQ_HJ_012_2_2	715585114700263431
AQ_HJ_012_2_3	715585114700263431
AQ_HJ_012_3_1	715585114670903297
AQ_HJ_012_3_2	715585114628960257
AQ_HJ_012_3_3	710062247636111363
AQ_HJ_012_4_1	715585114670903301
AQ_HJ_012_4_2	715585114704457733
AQ_HJ_012_4_3	710061638304403459
AQ_HJ_013_1_1	715585114637348873
AQ_HJ_013_1_2	715585114637348873
AQ_HJ_013_1_3	710062247510282250
AQ_HJ_013_2_1	715585114675097601
AQ_HJ_013_2_2	715585114675097601
AQ_HJ_013_2_3	710062247518670849
AQ_HJ_013_3_1	715585114717040657
AQ_HJ_013_3_2	715585114717040657
AQ_HJ_013_3_3	715585114628960261
AQ_HJ_013_4_1	715585114712846339
AQ_HJ_013_4_2	715585114725429249
AQ_HJ_013_4_3	715585114729623553
BQ_HJ_001_1_1	715601261172645897
BQ_HJ_001_1_2	715601261172645897
BQ_HJ_001_1_3	710062247573196809
BQ_HJ_001_2_1	715601261260726277
BQ_HJ_001_2_2	715601261260726277
BQ_HJ_001_2_3	710062247527059463
BQ_HJ_001_3_1	715601261139091457
BQ_HJ_001_3_2	715601261126508547
BQ_HJ_001_3_3	710062247631917065
BQ_HJ_001_4_1	715601261231366149
BQ_HJ_001_4_2	715601261076176899
BQ_HJ_001_4_3	715601261076176899
BQ_HJ_002_1_1	715601261181034503
BQ_HJ_002_1_2	715601261097148417
BQ_HJ_002_1_3	710062247589974017
BQ_HJ_002_2_1	715601261084565505
BQ_HJ_002_2_2	715601261109731333
BQ_HJ_002_2_3	715601261105537027
BQ_HJ_002_3_1	715601261243949063
BQ_HJ_002_3_2	715601261243949063
BQ_HJ_002_3_3	710062247636111375
BQ_HJ_002_4_1	715601261252337665
BQ_HJ_002_4_2	715601261227171841
BQ_HJ_002_4_3	710061638241488897
BQ_HJ_003_1_1	715601261134897157
BQ_HJ_003_1_2	715601261134897157
BQ_HJ_003_1_3	710062247548030979
BQ_HJ_003_2_1	715601261092954123
BQ_HJ_003_2_2	715601261092954123
BQ_HJ_003_2_3	715601261092954119
BQ_HJ_003_3_1	715601261109731335
BQ_HJ_003_3_2	715601261109731335
BQ_HJ_003_3_3	710062247636111361
BQ_HJ_003_4_1	715601261206200321
BQ_HJ_003_4_2	715601261139091459
BQ_HJ_003_4_3	715601261139091459
BQ_HJ_004_1_1	715601261202006019
BQ_HJ_004_1_2	715601261202006019
BQ_HJ_004_1_3	715601261092954113
BQ_HJ_004_2_1	715601261264920579
BQ_HJ_004_2_2	715601261264920579
BQ_HJ_004_2_3	715601261113925635
BQ_HJ_004_3_1	715601261105537031
BQ_HJ_004_3_2	715601261243949061
BQ_HJ_004_3_3	715601261143285767
BQ_HJ_004_4_1	715601261080371207
BQ_HJ_004_4_2	715601261126508551
BQ_HJ_004_4_3	715601261126508551
BQ_HJ_005_1_1	715601261214588929
BQ_HJ_005_1_2	715601261101342731
BQ_HJ_005_1_3	710062247539642370
BQ_HJ_005_2_1	715601261185228801
BQ_HJ_005_2_2	715601261181034507
BQ_HJ_005_2_3	715601261181034507
BQ_HJ_005_3_1	715601261147480069
BQ_HJ_005_3_2	715601261080371201
BQ_HJ_005_3_3	715601261080371201
BQ_HJ_005_4_1	715601261176840193
BQ_HJ_005_4_2	715601261176840193
BQ_HJ_005_4_3	710061638291820545
BQ_HJ_006_1_1	715601261222977543
BQ_HJ_006_1_2	715601261218783235
BQ_HJ_006_1_3	715601261256531969
BQ_HJ_006_2_1	715601261071982595
BQ_HJ_006_2_2	715601261248143361
BQ_HJ_006_2_3	710062247518670859
BQ_HJ_006_3_1	715601261092954117
BQ_HJ_006_3_2	715601261105537025
BQ_HJ_006_3_3	715601261105537025
BQ_HJ_006_4_1	715601261101342723
BQ_HJ_006_4_2	715601261088759809
BQ_HJ_006_4_3	710061638258266113
BQ_HJ_007_1_1	715601261126508549
BQ_HJ_007_1_2	715601261206200327
BQ_HJ_007_1_3	710062247564808203
BQ_HJ_007_2_1	715601261122314249
BQ_HJ_007_2_2	715601261143285765
BQ_HJ_007_2_3	710062247518670863
BQ_HJ_007_3_1	715601261227171843
BQ_HJ_007_3_2	715601261206200325
BQ_HJ_007_3_3	710062247636111385
BQ_HJ_007_4_1	715601261181034501
BQ_HJ_007_4_2	715601261168451591
BQ_HJ_007_4_3	710061638262460417
BQ_HJ_008_1_1	715601261193617411
BQ_HJ_008_1_2	715601261130702849
BQ_HJ_008_1_3	715601261130702849
BQ_HJ_008_2_1	715601261231366145
BQ_HJ_008_2_2	715601261231366145
BQ_HJ_008_2_3	715601261248143369
BQ_HJ_008_3_1	715601261092954115
BQ_HJ_008_3_2	715601261256531971
BQ_HJ_008_3_3	715601261256531971
BQ_HJ_008_4_1	715601261076176897
BQ_HJ_008_4_2	715601261076176897
BQ_HJ_008_4_3	710061638262460421
BQ_HJ_009_1_1	715601261101342725
BQ_HJ_009_1_2	715601261101342725
BQ_HJ_009_1_3	715601261118119939
BQ_HJ_009_2_1	715601261126508545
BQ_HJ_009_2_2	715601261126508545
BQ_HJ_009_2_3	710062247531253765
BQ_HJ_009_3_1	715601261155868681
BQ_HJ_009_3_2	715601261239754753
BQ_HJ_009_3_3	715601261160062989
BQ_HJ_009_4_1	715601261151674373
BQ_HJ_009_4_2	715601261197811715
BQ_HJ_009_4_3	715601261197811715
BQ_HJ_010_1_1	715601261134897159
BQ_HJ_010_1_2	715601261134897159
BQ_HJ_010_1_3	710062247606751239
BQ_HJ_010_2_1	715601261168451589
BQ_HJ_010_2_2	715601261155868679
BQ_HJ_010_2_3	710062247531253761
BQ_HJ_010_3_1	715601261164257281
BQ_HJ_010_3_2	715601261168451593
BQ_HJ_010_3_3	710062247644499991
BQ_HJ_010_4_1	715601261248143363
BQ_HJ_010_4_2	715601261189423109
BQ_HJ_010_4_3	710061638266654727
BQ_HJ_011_1_1	715601261206200323
BQ_HJ_011_1_2	715601261222977539
BQ_HJ_011_1_3	715601261222977539
BQ_HJ_011_2_1	715601261231366147
BQ_HJ_011_2_2	715601261231366147
BQ_HJ_011_2_3	715601261235560449
BQ_HJ_011_3_1	715601261248143365
BQ_HJ_011_3_2	715601261092954121
BQ_HJ_011_3_3	710062247636111379
BQ_HJ_011_4_1	715601261088759811
BQ_HJ_011_4_2	715601261122314241
BQ_HJ_011_4_3	710061638266654725
BQ_HJ_012_1_1	715601261101342733
BQ_HJ_012_1_2	715601261134897161
BQ_HJ_012_1_3	710062247602556933
BQ_HJ_012_2_1	715601261151674369
BQ_HJ_012_2_2	715601261155868673
BQ_HJ_012_2_3	715601261160062983
BQ_HJ_012_3_1	715601261189423113
BQ_HJ_012_3_2	715601261189423113
BQ_HJ_012_3_3	710062247640305665
BQ_HJ_012_4_1	715601261172645889
BQ_HJ_012_4_2	715601261130702857
BQ_HJ_012_4_3	715601261130702857
BQ_HJ_013_1_1	715601261122314245
BQ_HJ_013_1_2	715601261130702853
BQ_HJ_013_1_3	710062247606751245
BQ_HJ_013_2_1	715601261143285761
BQ_HJ_013_2_2	715601261155868675
BQ_HJ_013_2_3	710062247539642368
BQ_HJ_013_3_1	715601261160062979
BQ_HJ_013_3_2	715601261160062977
BQ_HJ_013_3_3	710062247636111383
BQ_HJ_013_4_1	715601261172645891
BQ_HJ_013_4_2	715601261189423111
BQ_HJ_013_4_3	715601261189423111
CQ_HJ_001_1_1	715585114779955203
CQ_HJ_001_1_2	715585114779955219
CQ_HJ_001_1_3	710062247581585415
CQ_HJ_001_2_1	715585114779955211
CQ_HJ_001_2_2	715585114779955211
CQ_HJ_001_2_3	715585114784149505
CQ_HJ_001_3_1	715585114784149515
CQ_HJ_001_3_2	715585114779955207
CQ_HJ_001_3_3	710062247640305673
CQ_HJ_001_4_1	715585114784149509
CQ_HJ_001_4_2	715585114784149517
CQ_HJ_001_4_3	710061638249877521
CQ_HJ_002_1_1	715585114792538117
CQ_HJ_002_1_2	715585114788343811
CQ_HJ_002_1_3	715585114788343811
CQ_HJ_002_2_1	715585114792538125
CQ_HJ_002_2_2	715585114792538129
CQ_HJ_002_2_3	715585114792538129
CQ_HJ_002_3_1	715585114792538119
CQ_HJ_002_3_2	715585114788343813
CQ_HJ_002_3_3	710062247644499978
CQ_HJ_002_4_1	715585114788343809
CQ_HJ_002_4_2	715585114788343809
CQ_HJ_002_4_3	710061638241488911
CQ_HJ_003_1_1	715585114637348867
CQ_HJ_003_1_2	715585114637348867
CQ_HJ_003_1_3	710062247615139851
CQ_HJ_003_2_1	715585114649931777
CQ_HJ_003_2_2	715585114649931777
CQ_HJ_003_2_3	710062247539642378
CQ_HJ_003_3_1	715585114666708995
CQ_HJ_003_3_2	715585114670903303
CQ_HJ_003_3_3	710062247644499993
CQ_HJ_003_4_1	715585114679291907
CQ_HJ_003_4_2	715585114675097603
CQ_HJ_003_4_3	710061638245683201
CQ_HJ_004_1_1	715585114754789379
CQ_HJ_004_1_2	715585114754789379
CQ_HJ_004_1_3	715585114758983681
CQ_HJ_004_2_1	715585114763177985
CQ_HJ_004_2_2	715585114754789387
CQ_HJ_004_2_3	715585114754789389
CQ_HJ_004_3_1	715585114758983685
CQ_HJ_004_3_2	715585114763177993
CQ_HJ_004_3_3	710062247644499981
CQ_HJ_004_4_1	715585114758983684
CQ_HJ_004_4_2	715585114758983684
CQ_HJ_004_4_3	715585114763177999
CQ_HJ_005_1_1	715585114771566615
CQ_HJ_005_1_2	715585114771566615
CQ_HJ_005_1_3	710062247636111365
CQ_HJ_005_2_1	715585114771566621
CQ_HJ_005_2_2	715585114779955205
CQ_HJ_005_2_3	715585114775760905
CQ_HJ_005_3_1	715585114779955215
CQ_HJ_005_3_2	715585114779955214
CQ_HJ_005_3_3	715585114779955224
CQ_HJ_005_4_1	715585114775760903
CQ_HJ_005_4_2	715585114775760903
CQ_HJ_005_4_3	710061638237294603
CQ_HJ_006_1_1	715585114708652037
CQ_HJ_006_1_2	715585114708652037
CQ_HJ_006_1_3	710062247501893633
CQ_HJ_006_2_1	715585114712846350
CQ_HJ_006_2_2	715585114712846350
CQ_HJ_006_2_3	710062247556419593
CQ_HJ_006_3_1	715585114717040641
CQ_HJ_006_3_2	715585114717040641
CQ_HJ_006_3_3	710062247640305667
CQ_HJ_006_4_1	715585114721234945
CQ_HJ_006_4_2	715585114725429261
CQ_HJ_006_4_3	715585114725429261
CQ_HJ_007_1_1	715585114742206471
CQ_HJ_007_1_2	715585114746400769
CQ_HJ_007_1_3	715585114746400769
CQ_HJ_007_2_1	715585114750595073
CQ_HJ_007_2_2	715585114750595073
CQ_HJ_007_2_3	715585114750595075
CQ_HJ_007_3_1	715585114750595079
CQ_HJ_007_3_2	715585114750595079
CQ_HJ_007_3_3	715585114750595081
CQ_HJ_007_4_1	715585114754789383
CQ_HJ_007_4_2	715585114754789383
CQ_HJ_007_4_3	710061638258266119
CQ_HJ_008_1_1	715585114771566605
CQ_HJ_008_1_2	715585114771566605
CQ_HJ_008_1_3	710062247497699329
CQ_HJ_008_2_1	715585114767372295
CQ_HJ_008_2_2	715585114767372295
CQ_HJ_008_2_3	715585114767372297
CQ_HJ_008_3_1	715585114771566611
CQ_HJ_008_3_2	715585114771566611
CQ_HJ_008_3_3	715585114771566617
CQ_HJ_008_4_1	715585114771566595
CQ_HJ_008_4_2	715585114775760899
CQ_HJ_008_4_3	710061638254071809
CQ_HJ_009_1_1	715585114733817867
CQ_HJ_009_1_2	715585114729623555
CQ_HJ_009_1_3	710062247506087939
CQ_HJ_009_2_1	715585114738012161
CQ_HJ_009_2_2	715585114738012167
CQ_HJ_009_2_3	715585114738012167
CQ_HJ_009_3_1	715585114742206465
CQ_HJ_009_3_2	715585114742206467
CQ_HJ_009_3_3	710062247644499969
